cc;amount;year;month;product
IT;0;2016;03;crude
MQ;0;2016;03;crude
NL;2494;2016;03;crude
PL;0;2016;03;crude
PT;0;2016;03;crude
ES;189;2016;03;crude
GB;5951;2016;03;crude
SE;1075;2016;03;crude
ZA;0;2016;03;crude
DE;953;2016;03;crude
US;355;2016;03;crude
BS;213;2016;04;crude
BE;274;2016;04;crude
CA;743;2016;04;crude
DK;11;2016;04;crude
FI;0;2016;04;crude
FR;804;2016;04;crude
IE;638;2016;04;crude
IT;0;2016;04;crude
MQ;0;2016;04;crude
NL;2924;2016;04;crude
PL;0;2016;04;crude
PT;0;2016;04;crude
ES;0;2016;04;crude
GB;6960;2016;04;crude
SE;594;2016;04;crude
ZA;0;2016;04;crude
DE;1214;2016;04;crude
US;375;2016;04;crude
BS;0;2016;05;crude
BE;0;2016;05;crude
CA;0;2016;05;crude
DK;755;2016;05;crude
FI;259;2016;05;crude
FR;881;2016;05;crude
IE;761;2016;05;crude
IT;274;2016;05;crude
MQ;0;2016;05;crude
NL;2169;2016;05;crude
PL;0;2016;05;crude
PT;407;2016;05;crude
ES;597;2016;05;crude
GB;7036;2016;05;crude
SE;1243;2016;05;crude
ZA;0;2016;05;crude
DE;749;2016;05;crude
US;431;2016;05;crude
BS;238;2016;06;crude
BE;0;2016;06;crude
CA;0;2016;06;crude
DK;555;2016;06;crude
FI;341;2016;06;crude
FR;349;2016;06;crude
IE;716;2016;06;crude
IT;0;2016;06;crude
MQ;249;2016;06;crude
NL;3350;2016;06;crude
PL;0;2016;06;crude
PT;0;2016;06;crude
ES;0;2016;06;crude
GB;4211;2016;06;crude
SE;960;2016;06;crude
ZA;0;2016;06;crude
DE;2055;2016;06;crude
US;425;2016;06;crude
BS;0;2016;07;crude
BE;0;2016;07;crude
CA;588;2016;07;crude
DK;913;2016;07;crude
FI;241;2016;07;crude
FR;758;2016;07;crude
IE;725;2016;07;crude
IT;404;2016;07;crude
MQ;236;2016;07;crude
NL;4390;2016;07;crude
PL;0;2016;07;crude
PT;0;2016;07;crude
ES;224;2016;07;crude
GB;6252;2016;07;crude
SE;1350;2016;07;crude
ZA;0;2016;07;crude
DE;873;2016;07;crude
US;391;2016;07;crude
BS;0;2016;08;crude
BE;0;2016;08;crude
CA;0;2016;08;crude
DK;787;2016;08;crude
FI;0;2016;08;crude
FR;1139;2016;08;crude
IE;783;2016;08;crude
IT;0;2016;08;crude
MQ;0;2016;08;crude
NL;4845;2016;08;crude
PL;0;2016;08;crude
PT;0;2016;08;crude
ES;295;2016;08;crude
GB;7003;2016;08;crude
SE;658;2016;08;crude
ZA;0;2016;08;crude
DE;1741;2016;08;crude
US;856;2016;08;crude
BS;0;2016;09;crude
BE;0;2016;09;crude
CA;589;2016;09;crude
DK;635;2016;09;crude
FI;0;2016;09;crude
FR;1240;2016;09;crude
IE;490;2016;09;crude
IT;250;2016;09;crude
MQ;0;2016;09;crude
NL;2068;2016;09;crude
PL;0;2016;09;crude
PT;0;2016;09;crude
ES;0;2016;09;crude
GB;6062;2016;09;crude
SE;899;2016;09;crude
ZA;421;2016;09;crude
DE;1080;2016;09;crude
US;414;2016;09;crude
BS;0;2016;10;crude
BE;0;2016;10;crude
CA;914;2016;10;crude
DK;278;2016;10;crude
FI;846;2016;10;crude
FR;1425;2016;10;crude
IE;774;2016;10;crude
IT;328;2016;10;crude
MQ;0;2016;10;crude
NL;2652;2016;10;crude
PL;246;2016;10;crude
PT;0;2016;10;crude
ES;0;2016;10;crude
GB;7744;2016;10;crude
SE;431;2016;10;crude
ZA;406;2016;10;crude
DE;1723;2016;10;crude
US;435;2016;10;crude
BS;0;2016;11;crude
BE;0;2016;11;crude
CA;381;2016;11;crude
DK;360;2016;11;crude
FI;259;2016;11;crude
FR;1119;2016;11;crude
IE;1290;2016;11;crude
IT;0;2016;11;crude
MQ;0;2016;11;crude
NL;5236;2016;11;crude
PL;0;2016;11;crude
PT;0;2016;11;crude
ES;0;2016;11;crude
GB;7940;2016;11;crude
SE;1058;2016;11;crude
ZA;0;2016;11;crude
DE;1100;2016;11;crude
US;0;2016;11;crude
BS;0;2016;12;crude
BE;0;2016;12;crude
CA;0;2016;12;crude
